Systematic ORF Name	Common Gene Name	Probe bp position	Probe No.	Average WT fluorescent intensity value	Average spt6 fluorescent intensity value	Average spt6/WT ratio	Ratio of spt6/WT to Probe No. 1 spt6/WT	spt6 short transcript gene?
YAL023C	PMT2	1777	5	1336.62864967235	1036.013305542	0.790310947596628	1.61835495089382	No
YAL023C	PMT2	2221	6	2967.90259643096	2590.31680135425	0.888259828431226	1.8189292396788	No
YAL024C	LTE1	1	1	143.929073975409	49.8323847162204	0.360724234982172	1	Yes
YAL024C	LTE1	850	2	168.863543801231	156.415523271312	0.951443877977724	2.63759344593176	Yes
YAL024C	LTE1	1700	3	88.8548815023995	160.888692440542	1.79544083232626	4.97732244803292	Yes
YAL024C	LTE1	2549	4	196.182558513431	393.409901989665	1.99877505566164	5.5410057374172	Yes
YAL024C	LTE1	3399	5	104.369715780594	218.770715567949	2.02981952718345	5.6270672451042	Yes
YAL024C	LTE1	4249	6	145.346257027453	471.324018075127	2.8533439051994	7.91004215544438	Yes
YAL025C	MAK16	1	1	1113.8291177802	325.703563982765	0.302264378120536	1	No
YAL025C	MAK16	173	2	957.282351582458	327.117761243403	0.344058298574309	1.13826942067618	No
YAL025C	MAK16	345	3	1352.93998159532	442.782198086857	0.327413169370551	1.08320130677121	No
YAL025C	MAK16	517	4	885.296248757706	361.68552330332	0.445955161674014	1.4753811363646	No
YAL025C	MAK16	689	5	1766.11215118056	660.215962996265	0.376809887892595	1.24662353610961	No
YAL025C	MAK16	862	6	1131.60638954215	447.660754531589	0.393337924620866	1.30130426571143	No
YAL026C	DRS2	1	1	615.192311488866	236.690651188793	0.375520757954443	1	Yes
YAL026C	DRS2	802	2	116.698655839302	116.645626563495	1.03159803104019	2.74711319997213	Yes
YAL026C	DRS2	1604	3	353.709861491746	343.435697204149	0.969725495651218	2.58234857890029	Yes
YAL026C	DRS2	2405	4	294.968060202883	434.316392357563	1.47897935452651	3.93847563203398	Yes
YAL026C	DRS2	3207	5	287.348629742184	416.221518501882	1.49081643453037	3.9699974048072	Yes
YAL026C	DRS2	4009	6	390.679758575701	709.998612151981	1.72325835859446	4.58898295791018	Yes
YAL027W		1	1	393.101946932043	372.16080094365	0.946712432850162	1	No
YAL027W		146	2	119.957556028892	113.943296228734	0.931238927839434	0.983655538393909	No
YAL027W		291	3	176.846666842699	154.55732790512	0.87998745212677	0.929519272792784	No
YAL027W		436	4	192.006146268481	264.441886662627	1.36240628545595	1.43909199687417	No
YAL027W		581	5	306.241509407634	439.768759089895	1.43489801404282	1.51566406466527	No
YAL027W		727	6	281.611274300557	482.344531502058	1.68537441378958	1.78023902011682	No
YAL028W	FRT2	1	1	121.21698798778	187.126350342373	1.50250395994762	1	No
YAL028W	FRT2	306	2	204.570211529464	390.064057320909	1.91364719881509	1.27363870567223	No
YAL028W	FRT2	611	3	206.667077043895	613.540173299125	2.87727929894467	1.91498949463333	No
YAL028W	FRT2	917	4	99.4560939771396	208.470213252705	2.08255042461113	1.3860532019388	No
YAL028W	FRT2	1222	5	104.029248549432	379.49773038554	3.61333488374612	2.40487544796361	No
YAL028W	FRT2	1528	6	101.350386063171	397.715065155424	3.62039235518522	2.40957258795606	No
YAL029C	MYO4	1	1	438.892045555216	213.170288486819	0.496474677544205	1	No
YAL029C	MYO4	872	2	342.192564702339	278.918542643911	0.822029121455602	1.65573222288343	No
YAL029C	MYO4	1743	3	459.88803750073	601.464392135226	1.29108599239728	2.60050723791915	No
YAL029C	MYO4	2614	4	309.251749624417	348.184767468526	1.165502946706	2.34755768908723	No
YAL029C	MYO4	3485	5	257.053943752238	253.094726579953	0.978852294724429	1.97160568101134	No
YAL029C	MYO4	4357	6	802.482492786523	815.871755195165	0.985460806088952	1.98491655397915	No
YAL030W	SNC1	1	1	2512.76435726004	2019.4756131085	0.792266598507506	1	No
YAL030W	SNC1	59	2	2161.72149152214	1933.29848836689	0.857462026638371	1.08228975985316	No
YAL030W	SNC1	118	3	1616.17285603059	1636.73966913437	0.918691095294371	1.15957317527336	No
YAL030W	SNC1	177	4	1504.18292866775	1629.96638019604	1.03281848553351	1.30362492559848	No
YAL030W	SNC1	236	5	1945.72122993171	1710.44070389187	0.860475315055953	1.08609313667513	No
YAL030W	SNC1	295	6	1246.82874770296	1230.21647216832	0.972826298162192	1.22790270345213	No
YAL031C	FUN21	1	1	262.798595562077	254.449089221308	0.988425619133358	1	No
YAL031C	FUN21	445	2	95.46153683453	130.927474550469	1.38789056950483	1.40414265134257	No
YAL031C	FUN21	890	3	195.096215161671	271.522807716856	1.36909778915405	1.38512980911448	No
YAL031C	FUN21	1334	4	340.446215717675	671.409282565619	2.02447130895483	2.0481776977107	No
YAL031C	FUN21	1779	5	516.657724601802	1278.69655626141	2.39626175680515	2.4243217804352	No
YAL031C	FUN21	2224	6	409.485037019948	854.614522619957	2.08888994543991	2.11335067101097	No
YAL032C	PRP45	1	1	253.460495923786	265.396832918593	1.02224094983983	1	No
YAL032C	PRP45	217	2	399.839269783251	536.828530837164	1.33430482020939	1.30527428041153	No
YAL032C	PRP45	433	3	306.359988364512	378.557729825068	1.2371693919493	1.21025223274723	No
YAL032C	PRP45	649	4	334.141297468131	317.848677024883	0.947815347274906	0.927193679164796	No
YAL032C	PRP45	865	5	225.134446058894	326.904884746286	1.46615497453905	1.43425576403369	No
YAL032C	PRP45	1081	6	179.261684720693	261.096031807712	1.41995821753421	1.3890641122885	No
YAL033W	POP5	1	1	613.411719018694	301.754975275712	0.340804748179113	1	No
YAL033W	POP5	93	2	429.051318466999	240.195597747252	0.564010476930616	1.65493726230068	No
YAL033W	POP5	185	3	572.439108766745	238.406250225464	0.389712569797298	1.14350686684823	No
YAL033W	POP5	278	4	647.025744688553	406.354213756526	0.642359774001484	1.88483223145672	No
YAL033W	POP5	370	5	340.074718395588	232.199397444273	0.670891089287562	1.96854971320695	No
YAL033W	POP5	463	6	806.798432390599	463.381392625227	0.559833950073547	1.64268236597256	No
YAL034C	FUN19	1	1	190.211515036099	798.101542045466	3.47161264582278	1	No
YAL034C	FUN19	237	2	237.211315791939	917.792796995657	3.85163727744328	1.10946631159377	No
YAL034C	FUN19	473	3	573.936396950765	2313.36581659679	3.81077954101851	1.09769721734475	No
YAL034C	FUN19	710	4	367.397913166112	2559.00598735533	6.61857496099633	1.90648428734125	No
YAL034C	FUN19	946	5	263.934740508547	1627.78875631499	6.24284591535258	1.79825532173478	No
YAL034C	FUN19	1183	6	281.198762345187	1457.66782059229	4.9013110946982	1.41182545253017	No
YAL034W-A	MTW1	1	1	231.255768881178	97.8122127331352	0.420442789971911	1	No
YAL034W-A	MTW1	163	2	213.64306786765	93.202102333536	0.429332448607772	1.02114356304327	No
YAL034W-A	MTW1	325	3	157.469881034693	91.4479038987	0.581838378983901	1.38387051190192	No
YAL034W-A	MTW1	487	4	133.5397283074	63.5559476757008	0.471644794950097	1.12178114644707	No
YAL034W-A	MTW1	649	5	143.441079454039	69.2109925557747	0.503192911607651	1.19681660289922	No
YAL034W-A	MTW1	811	6	81.7621714081075	48.1086665794649	0.44189489031424	1.05102263816621	No
YAL035W	FUN12	1	1	1250.62601302423	610.08768840028	0.488150682125536	1	No
YAL035W	FUN12	590	2	2931.81186473493	1532.43684728258	0.514014733611681	1.05298374545648	No
YAL035W	FUN12	1180	3	975.026883696055	680.826704873478	0.749079956297681	1.53452608738759	No
YAL035W	FUN12	1770	4	1169.05238360556	974.494999010686	0.850819807371575	1.74294503424001	No
YAL035W	FUN12	2360	5	1974.23016515722	1944.18951611366	0.995694663202535	2.0397280996659	No
YAL035W	FUN12	2950	6	1698.68659431373	1566.62522950602	0.887667888167664	1.81843008864092	No
YAL036C		1	1	1283.20194802629	970.929723684105	0.759345733655797	1	No
YAL036C		211	2	1320.77988283768	1165.90471462667	0.875329400886807	1.15274158013981	No
YAL036C		421	3	1550.85795784385	1057.56533441731	0.605054921762445	0.796810853008242	No
YAL036C		631	4	1780.71089374357	2150.96536189127	1.1618816243487	1.53010884614434	No
YAL036C		841	5	1610.81060882433	1745.52400390662	1.03176611173496	1.35875671121193	No
YAL036C		1051	6	1501.24438074729	2227.3679406304	1.4400923927525	1.89649105660911	No
YAL037C-A		1	1	41.4704354359392	51.1600967028544	1.22596762779619	1	No
YAL037C-A		1	2	42.3476110284556	54.7595147142931	1.2851545736857	1.04827773959734	No
YAL037C-A		7	3	23.643319255629	33.6412555441356	1.21601568800985	0.991882379631646	No
YAL037C-A		7	4	31.6741315629001	37.8374032399447	1.18897235825582	0.969823616299825	No
YAL037C-A		14	5	30.5187340313008	37.7413136131826	1.25634640805157	1.02477943101156	No
YAL037C-A		14	6	31.8919275642714	36.98366200857	1.14116466513294	0.930827730895558	No
YAL037C-A		20	7	24.3352083869121	23.2353512461384	0.983241491158933	0.802012605280953	No
YAL037C-A		20	8	52.5545200606197	55.2327611574503	1.02196720365741	0.83360048054002	No
YAL037C-A		27	9	19.8504136361666	26.1056963579226	1.24354304085967	1.01433595199824	No
YAL037C-A		27	10	53.592505886517	46.7925842812336	0.867530098113045	0.707628878971726	No
YAL037C-A		34	11	14.5354999489417	17.3522319683033	1.02269273362125	0.834192282433795	No
